2025-10-24 12:09:10 - INFO - Document ID: 68ba58d9-4288-49e6-ad56-c602bf2e8d64
2025-10-24 12:09:10 - INFO - Log file: C:\Users\haast\docker\KRAI-minimal\input_pdfs\AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127.log.txt
2025-10-24 12:09:10 - INFO - Step 1/5: Extracting text from PDF...
2025-10-24 12:09:11 - INFO - Extracting text from: AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127.pdf
2025-10-24 12:09:11 - INFO - Using engine: pymupdf
2025-10-24 12:09:25 - INFO - [green]Extracted 4386 pages with PyMuPDF[/green]
2025-10-24 12:09:26 - INFO - 🔍 Auto-detecting manufacturer from multiple sources...
2025-10-24 12:09:26 - INFO -    📄 Filename: 'AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127'
2025-10-24 12:09:26 - INFO -    📋 Title: 'AccurioPress_C4080_C4070_C84hc_C74hc_AccurioPrint_C4065_C4065P_SM_EN_20250127'
2025-10-24 12:09:26 - INFO -    ✍️  Author: (none)
2025-10-24 12:09:26 - INFO -    📖 Text sample: First 3 pages (2000 chars)
2025-10-24 12:09:26 - INFO - 
2025-10-24 12:09:26 - INFO - 📊 Detection Results:
2025-10-24 12:09:26 - INFO -    🏆 Konica Minolta: 18 points
2025-10-24 12:09:26 - INFO -       Sources: 📄 Filename, 📋 Title, 📖 Text (3 mentions)
2025-10-24 12:09:26 - INFO - 
2025-10-24 12:09:26 - INFO - [green]✅ Selected: Konica Minolta (score: 18)[/green]
2025-10-24 12:09:26 - INFO - [green]   ✅ Excellent confidence (filename + author + title)[/green]
2025-10-24 12:09:27 - DEBUG - Normalized 'Konica Minolta' -> 'Konica Minolta'
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 290
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 291
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 292
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 293
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 294
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 295
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 296
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 297
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 298
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 299
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 300
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 301
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 302
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 303
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 304
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 305
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 306
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 307
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 308
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 309
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 310
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 311
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 312
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 313
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 314
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 315
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 316
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 317
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 318
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 319
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 320
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 321
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 322
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 323
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 324
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 325
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 326
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 327
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 328
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 329
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 330
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 331
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 332
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 333
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 334
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 335
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 336
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 337
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 338
2025-10-24 12:09:29 - DEBUG - Extracted 5 unique products from page 339
2025-10-24 12:09:29 - DEBUG - Extracted 5 unique products from page 340
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 341
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 342
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 343
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 344
2025-10-24 12:09:29 - DEBUG - Extracted 8 unique products from page 345
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 346
2025-10-24 12:09:29 - DEBUG - Extracted 8 unique products from page 347
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 348
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 349
2025-10-24 12:09:29 - DEBUG - Extracted 4 unique products from page 350
